"2019-02-18 20:46:52" Welcome to Cetus3Dbasic
"2019-02-18 20:46:52" setup: WiFi 'FFamPennings' .... ESP8266 at 192.168.178.78
"2019-02-18 20:46:53" setup: Finding Cetus3D ... found 'MaartensCetus3D' at 192.168.178.10
"2019-02-18 20:46:53" stat:  seq#  clock : stat/statusname      layer  height done   remain  nozzle  hotbed 
"2019-02-18 21:03:48" stat: 00095 01019s : 0202/printing        L0006   0.0mm  14%  2:24:23   1.00x   0.34x 
"2019-02-18 21:03:58" stat: 00096 01029s : 0202/printing        L0006   0.0mm  14%  2:24:23   1.00x   0.34x 
"2019-02-18 21:04:08" stat: 00097 01040s : 0202/printing        L0007   0.0mm  16%  2:22:08   1.00x   0.34x 
"2019-02-18 21:04:19" stat: 00098 01050s : 0202/printing        L0007   0.0mm  16%  2:22:08   1.00x   0.34x 
"2019-02-18 21:04:29" stat: 00099 01060s : 0202/printing        L0007   0.0mm  16%  2:22:08   0.98x   0.34x 
"2019-02-18 21:04:39" stat: 00100 01070s : 0202/printing        L0007   0.0mm  16%  2:22:08   0.98x   0.34x 
"2019-02-18 21:04:50" stat: 00101 01081s : 0202/printing        L0007   0.0mm  16%  2:22:08   0.98x   0.34x 
"2019-02-18 21:05:00" stat: 00102 01091s : 0202/printing        L0007   0.0mm  16%  2:22:08   1.00x   0.34x 
"2019-02-18 21:05:10" stat: 00103 01101s : 0202/printing        L0007   0.0mm  16%  2:22:08   1.00x   0.34x 
"2019-02-18 21:05:21" stat: 00104 01112s : 0202/printing        L0007   0.0mm  16%  2:22:08   1.00x   0.34x 
"2019-02-18 21:05:31" stat: 00105 01122s : 0202/printing        L0007   0.0mm  16%  2:22:08   0.98x   0.34x 
"2019-02-18 21:05:41" stat: 00106 01132s : 0202/printing        L0007   0.0mm  16%  2:22:08   0.98x   0.34x 
"2019-02-18 21:05:52" stat: 00107 01143s : 0202/printing        L0007   0.0mm  16%  2:22:08   0.98x   0.34x 
"2019-02-18 21:06:02" stat: 00108 01153s : 0202/printing        L0007   0.0mm  16%  2:22:08   1.00x   0.34x 
"2019-02-18 21:06:12" stat: 00109 01163s : 0202/printing        L0007   0.0mm  16%  2:22:08   0.98x   0.34x 
"2019-02-18 21:06:22" stat: 00110 01174s : 0202/printing        L0008   0.0mm  17%  2:19:54   1.00x   0.34x 
"2019-02-18 21:06:33" stat: 00111 01184s : 0202/printing        L0008   0.0mm  17%  2:19:54   1.00x   0.34x 
"2019-02-18 21:06:43" stat: 00112 01194s : 0202/printing        L0008   0.0mm  17%  2:19:54   0.98x   0.34x 
"2019-02-18 21:06:53" stat: 00113 01204s : 0202/printing        L0008   0.0mm  17%  2:19:54   0.98x   0.34x 
"2019-02-18 21:07:04" stat: 00114 01215s : 0202/printing        L0008   0.0mm  17%  2:19:54   0.98x   0.34x 
"2019-02-18 21:07:14" stat: 00115 01225s : 0202/printing        L0008   0.0mm  17%  2:19:54   1.00x   0.34x 
"2019-02-18 21:07:24" stat: 00116 01235s : 0202/printing        L0008   0.0mm  17%  2:19:54   1.00x   0.34x 
"2019-02-18 21:07:35" stat: 00117 01246s : 0202/printing        L0008   0.0mm  17%  2:19:54   0.98x   0.34x 
"2019-02-18 21:07:45" stat: 00118 01256s : 0202/printing        L0008   0.0mm  17%  2:19:54   0.98x   0.34x 
"2019-02-18 21:07:55" stat: 00119 01266s : 0202/printing        L0008   0.0mm  17%  2:19:54   1.00x   0.34x 
"2019-02-18 21:08:05" stat: 00120 01277s : 0202/printing        L0008   0.0mm  17%  2:19:54   1.00x   0.34x 
"2019-02-18 21:08:16" stat: 00121 01287s : 0202/printing        L0008   0.0mm  17%  2:19:54   1.00x   0.34x 
"2019-02-18 21:08:26" stat: 00122 01297s : 0202/printing        L0008   0.0mm  17%  2:19:54   1.00x   0.34x 
